Number of Peaks,Spectral Centroid,Wavelet Entropy,Lempel_Ziv Complexity,x75th Percentile,Standard Deviation of Spectral Amplitude,Instantaneous Phase Std,File,Segment,SCR_recoveryTime_min,SCR_latency_mean,SCR_latency_std,Rise_Time,Time_to_Peak,SCL_tonic_std,PP,A,D,E,N,P,age,sex,香味,emotion
7126.0,0.434236941799318,9.740851083871096,0.0014555370600632,1.3403913591236836,6.697439599083e-05,0.7097779126827485,8030806.0,3.0,0.0,281.1735135135135,45.836776437067535,3.471212121,153.8,0.6642539436590796,0.0,-0.5,-0.25,24.1,68.4,62.7,20.0,2.0,薰衣草,无聊
10762.0,0.1302096137822806,9.148403767030722,0.0014830273663022,0.5647332986290304,79.00683716789052,1.344216833831105,8040807.0,1.0,0.0,0.0,0.0,3.191176471,153.7529412,0.7239083638173939,-0.5,-0.67,-1.75,24.1,68.4,62.7,20.0,2.0,0,无聊
958.0,0.3930803497755716,9.932033845147842,0.0064045071435842,2.527995055044639,0.0001130301328051,0.2856023015184274,8040807.0,2.0,0.2899999999999991,50.216538461538455,26.64378466161807,3.35,65.23866667,0.429207489472777,-0.25,0.0,2.0,24.1,68.4,62.7,20.0,2.0,0,依赖
8831.0,0.4145343048182279,9.736828802668068,0.0014748865489883,1.4687591930671606,7.546559250068036e-05,0.939414376300608,8040807.0,3.0,0.0,272.04322916666666,50.061784690994415,3.0325,154.9508333,0.7486229807613323,1.25,2.5,1.5,24.1,68.4,62.7,20.0,2.0,薄荷,惊奇
15027.0,0.211706357122802,9.148472053558152,0.0029695299575409,3.560231199273032,101.61528196232432,0.9582513019762512,9010807.0,1.0,0.0,0.0,0.0,3.207714286,154.3294286,0.6829380343749326,1.25,1.0,1.0,45.2,47.9,57.5,21.0,2.0,0,惊奇
8890.0,48.63639297314004,11.728767649876664,0.0150851686858873,10.656176617654252,0.1668182855851768,0.2022357637133857,9010807.0,2.0,0.0800000000000125,71.78692307692307,68.2689744133865,4.068125,94.023125,0.3490366086809876,0.0,-0.25,-0.5,45.2,47.9,57.5,21.0,2.0,0,悲伤
15053.0,49.28874721590123,11.199175938517792,0.0069180958411659,10.289178774713704,0.1668000688030438,0.2186308293110587,9010807.0,3.0,0.4299999999999997,110.67,55.70990237132194,3.289375,156.9559375,0.3667292194992262,-1.0,-0.5,-0.25,45.2,47.9,57.5,21.0,2.0,无香,悲伤
14981.0,0.1898320576635583,9.148324274013817,0.0019851147343177,6.818559697903855,138.75901021225906,0.985359281510819,9020806.0,1.0,0.0,0.0,0.0,3.116857143,157.0688571,0.6643202943870824,-1.5,0.67,-0.75,45.2,47.9,57.5,21.0,2.0,0,焦虑
11120.0,49.0691045429627,11.327535278367582,0.0077908899497174,10.338701969817176,0.1668055512457126,0.1725804915732756,9020806.0,2.0,0.0600000000000022,83.04846153846155,67.97664280371535,3.773333333,121.0216667,0.2789279025586225,-1.25,-1.0,-1.75,45.2,47.9,57.5,21.0,2.0,0,无聊
15010.0,49.848120003573,9.972583412710335,0.0019817110743986,4.942561172805726,0.1668727204962196,0.4914053740022462,9020806.0,3.0,0.079999999999984,266.0855208333333,56.222199238634666,3.004054054,153.9491892,0.5967431497923371,-1.25,-1.0,0.25,45.2,47.9,57.5,21.0,2.0,柠檬,无聊
